"Label","County","estimate"
48001,"Anderson County",23.5
48003,"Andrews County",13.2
48005,"Angelina County",22.5
48007,"Aransas County",29.9
48009,"Archer County",20.6
48011,"Armstrong County",5
48013,"Atascosa County",17.2
48015,"Austin County",14.5
48017,"Bailey County",15.1
48019,"Bandera County",20.2
48021,"Bastrop County",19
48023,"Baylor County",7.6
48025,"Bee County",27
48027,"Bell County",21.1
48029,"Bexar County",21.4
48031,"Blanco County",15.2
48033,"Borden County",0
48035,"Bosque County",17.1
48037,"Bowie County",22.8
48039,"Brazoria County",8.9
48041,"Brazos County",20.7
48043,"Brewster County",13.3
48045,"Briscoe County",6.4
48047,"Brooks County",41
48049,"Brown County",18.2
48051,"Burleson County",16.7
48053,"Burnet County",10.1
48055,"Caldwell County",18.5
48057,"Calhoun County",10.8
48059,"Callahan County",11.6
48061,"Cameron County",36.5
48063,"Camp County",27.8
48065,"Carson County",11.1
48067,"Cass County",29
48069,"Castro County",14.6
48071,"Chambers County",18.5
48073,"Cherokee County",22.4
48075,"Childress County",12.4
48077,"Clay County",8.6
48079,"Cochran County",31
48081,"Coke County",10.6
48083,"Coleman County",23.1
48085,"Collin County",7
48087,"Collingsworth County",23.9
48089,"Colorado County",6.8
48091,"Comal County",5.1
48093,"Comanche County",19.2
48095,"Concho County",38.1
48097,"Cooke County",24.3
48099,"Coryell County",12.7
48101,"Cottle County",38
48103,"Crane County",0
48105,"Crockett County",0
48107,"Crosby County",39.7
48109,"Culberson County",66.6
48111,"Dallam County",11.4
48113,"Dallas County",20.7
48115,"Dawson County",32.2
48117,"Deaf Smith County",22.2
48119,"Delta County",18.7
48121,"Denton County",8.4
48123,"DeWitt County",18.7
48125,"Dickens County",7
48127,"Dimmit County",57.9
48129,"Donley County",12.4
48131,"Duval County",31.4
48133,"Eastland County",16.6
48135,"Ector County",23
48137,"Edwards County",38.5
48139,"Ellis County",12.7
48141,"El Paso County",26.6
48143,"Erath County",15.5
48145,"Falls County",18.1
48147,"Fannin County",13.5
48149,"Fayette County",12.6
48151,"Fisher County",17.6
48153,"Floyd County",18.6
48155,"Foard County",53.1
48157,"Fort Bend County",8.4
48159,"Franklin County",11.9
48161,"Freestone County",12.9
48163,"Frio County",34.3
48165,"Gaines County",13.8
48167,"Galveston County",13.7
48169,"Garza County",25.9
48171,"Gillespie County",12.2
48173,"Glasscock County",4.9
48175,"Goliad County",6
48177,"Gonzales County",15.6
48179,"Gray County",21.3
48181,"Grayson County",15.8
48183,"Gregg County",23.7
48185,"Grimes County",20.5
48187,"Guadalupe County",11.7
48189,"Hale County",24.8
48191,"Hall County",28.6
48193,"Hamilton County",14.7
48195,"Hansford County",11.3
48197,"Hardeman County",12.9
48199,"Hardin County",15.3
48201,"Harris County",23.2
48203,"Harrison County",24.4
48205,"Hartley County",8
48207,"Haskell County",11.8
48209,"Hays County",11.4
48211,"Hemphill County",11.7
48213,"Henderson County",23.1
48215,"Hidalgo County",37.9
48217,"Hill County",19.2
48219,"Hockley County",18.4
48221,"Hood County",11.5
48223,"Hopkins County",17.2
48225,"Houston County",23.4
48227,"Howard County",15.7
48229,"Hudspeth County",26.3
48231,"Hunt County",16.7
48233,"Hutchinson County",15.6
48235,"Irion County",5.2
48237,"Jack County",22.5
48239,"Jackson County",12.9
48241,"Jasper County",33.2
48243,"Jeff Davis County",43.6
48245,"Jefferson County",26.6
48247,"Jim Hogg County",46.1
48249,"Jim Wells County",36.1
48251,"Johnson County",13.9
48253,"Jones County",10.6
48255,"Karnes County",34.2
48257,"Kaufman County",12.1
48259,"Kendall County",6.6
48261,"Kenedy County",0
48263,"Kent County",0
48265,"Kerr County",16.4
48267,"Kimble County",13.8
48269,"King County",13.7
48271,"Kinney County",46.4
48273,"Kleberg County",42.6
48275,"Knox County",11.9
48277,"Lamar County",23
48279,"Lamb County",20.1
48281,"Lampasas County",9.5
48283,"La Salle County",35.1
48285,"Lavaca County",14.6
48287,"Lee County",13.6
48289,"Leon County",19.3
48291,"Liberty County",23.7
48293,"Limestone County",32.2
48295,"Lipscomb County",18.2
48297,"Live Oak County",27.9
48299,"Llano County",22.3
48301,"Loving County",0
48303,"Lubbock County",17.8
48305,"Lynn County",29.5
48307,"McCulloch County",12.7
48309,"McLennan County",22.4
48311,"McMullen County",18.5
48313,"Madison County",13.3
48315,"Marion County",25.3
48317,"Martin County",26.1
48319,"Mason County",0
48321,"Matagorda County",32.2
48323,"Maverick County",31.4
48325,"Medina County",16.8
48327,"Menard County",18.8
48329,"Midland County",13.5
48331,"Milam County",20.4
48333,"Mills County",6.5
48335,"Mitchell County",6.3
48337,"Montague County",18.2
48339,"Montgomery County",11.6
48341,"Moore County",16.8
48343,"Morris County",19.1
48345,"Motley County",6.5
48347,"Nacogdoches County",27.2
48349,"Navarro County",21.8
48351,"Newton County",36.2
48353,"Nolan County",13.7
48355,"Nueces County",25.1
48357,"Ochiltree County",14.6
48359,"Oldham County",18.4
48361,"Orange County",16.4
48363,"Palo Pinto County",19.5
48365,"Panola County",23.6
48367,"Parker County",8.8
48369,"Parmer County",10.7
48371,"Pecos County",38.5
48373,"Polk County",26.3
48375,"Potter County",28.9
48377,"Presidio County",68.9
48379,"Rains County",12.4
48381,"Randall County",10.9
48383,"Reagan County",7
48385,"Real County",38.4
48387,"Red River County",27.4
48389,"Reeves County",31.8
48391,"Refugio County",25.5
48393,"Roberts County",20.7
48395,"Robertson County",16.2
48397,"Rockwall County",4.9
48399,"Runnels County",15.2
48401,"Rusk County",20.6
48403,"Sabine County",19.1
48405,"San Augustine County",36.6
48407,"San Jacinto County",24.6
48409,"San Patricio County",22.7
48411,"San Saba County",24.4
48413,"Schleicher County",16.6
48415,"Scurry County",14.4
48417,"Shackelford County",12.7
48419,"Shelby County",34.8
48421,"Sherman County",15.5
48423,"Smith County",17.3
48425,"Somervell County",6.2
48427,"Starr County",42.8
48429,"Stephens County",25
48431,"Sterling County",0
48433,"Stonewall County",6
48435,"Sutton County",23.1
48437,"Swisher County",39.8
48439,"Tarrant County",15.7
48441,"Taylor County",17.6
48443,"Terrell County",0
48445,"Terry County",37.4
48447,"Throckmorton County",31.4
48449,"Titus County",27.1
48451,"Tom Green County",15.8
48453,"Travis County",14.1
48455,"Trinity County",22.3
48457,"Tyler County",30.9
48459,"Upshur County",16.6
48461,"Upton County",27.9
48463,"Uvalde County",33.9
48465,"Val Verde County",17.5
48467,"Van Zandt County",17.1
48469,"Victoria County",22.3
48471,"Walker County",24.4
48473,"Waller County",13
48475,"Ward County",18.8
48477,"Washington County",14.5
48479,"Webb County",28.5
48481,"Wharton County",18
48483,"Wheeler County",24.5
48485,"Wichita County",20.6
48487,"Wilbarger County",26.7
48489,"Willacy County",32
48491,"Williamson County",6.9
48493,"Wilson County",12
48495,"Winkler County",19
48497,"Wise County",11.9
48499,"Wood County",14.6
48501,"Yoakum County",20.3
48503,"Young County",26.7
48505,"Zapata County",53.4
48507,"Zavala County",54.3
