"","Label..Grouping.","Texas..Estimate","Angelina.County..Texas..Estimate","Bastrop.County..Texas..Estimate","Bell.County..Texas..Estimate","Bexar.County..Texas..Estimate","Bowie.County..Texas..Estimate","Brazoria.County..Texas..Estimate","Brazos.County..Texas..Estimate","Cameron.County..Texas..Estimate","Collin.County..Texas..Estimate","Comal.County..Texas..Estimate","Coryell.County..Texas..Estimate","Dallas.County..Texas..Estimate","Denton.County..Texas..Estimate","Ector.County..Texas..Estimate","Ellis.County..Texas..Estimate","El.Paso.County..Texas..Estimate","Fort.Bend.County..Texas..Estimate","Galveston.County..Texas..Estimate","Grayson.County..Texas..Estimate","Gregg.County..Texas..Estimate","Guadalupe.County..Texas..Estimate","Harris.County..Texas..Estimate","Harrison.County..Texas..Estimate","Hays.County..Texas..Estimate","Henderson.County..Texas..Estimate","Hidalgo.County..Texas..Estimate","Hood.County..Texas..Estimate","Hunt.County..Texas..Estimate","Jefferson.County..Texas..Estimate","Johnson.County..Texas..Estimate","Kaufman.County..Texas..Estimate","Liberty.County..Texas..Estimate","Lubbock.County..Texas..Estimate","McLennan.County..Texas..Estimate","Midland.County..Texas..Estimate","Montgomery.County..Texas..Estimate","Nacogdoches.County..Texas..Estimate","Nueces.County..Texas..Estimate","Orange.County..Texas..Estimate","Parker.County..Texas..Estimate","Potter.County..Texas..Estimate","Randall.County..Texas..Estimate","Rockwall.County..Texas..Estimate","San.Patricio.County..Texas..Estimate","Smith.County..Texas..Estimate","Starr.County..Texas..Estimate","Tarrant.County..Texas..Estimate","Taylor.County..Texas..Estimate","Tom.Green.County..Texas..Estimate","Travis.County..Texas..Estimate","Victoria.County..Texas..Estimate","Walker.County..Texas..Estimate","Webb.County..Texas..Estimate","Wichita.County..Texas..Estimate","Williamson.County..Texas..Estimate","Wise.County..Texas..Estimate"
"1","male Under 5 years","181,536","297","585","1,599","14,061","438","1,346","766","4,785","4,032","78","106","19,861","1,603","890","352","6,982","2,571","1,523","424","892","1,017","38,096","374","760","541","12,635","0","1,399","2,428","421","313","488","2,494","1,436","274","2,203","544","5,036","43","65","1,025","244","46","167","893","945","11,373","793","1,136","4,562","0","17","3,838","1,174","2,650","525"
"2","male 5 years","34,665","134","0","92","3,143","106","620","874","792","133","174","135","3,958","155","196","0","765","0","599","48","0","402","8,085","519","65","103","1,510","0","51","127","187","286","112","615","219","195","1,150","235","422","0","71","311","0","0","9","176","238","1,562","0","0","1,088","196","17","1,029","62","0","43"
"3","male 6 to 11 years","242,695","1,817","579","3,145","17,304","660","1,925","2,098","6,984","3,756","421","131","18,975","1,979","314","683","8,390","5,055","2,967","1,086","1,577","530","48,083","623","759","608","22,128","50","544","2,681","1,707","1,561","395","2,394","2,357","1,810","6,103","741","2,275","943","713","986","645","288","512","1,957","1,479","13,832","852","717","6,163","337","161","5,410","1,923","1,639","228"
"4","male 12 to 14 years","118,646","428","647","884","9,491","258","1,199","431","3,323","1,417","135","310","12,209","817","380","146","4,896","2,673","781","284","968","478","23,825","198","396","197","9,727","11","384","1,292","877","620","813","901","1,015","538","2,298","186","2,383","922","57","1,026","0","249","539","869","326","6,813","384","235","2,240","665","385","694","317","1,636","400"
"5","male 15 years","41,540","116","0","763","2,120","67","14","330","1,095","755","0","0","3,973","396","101","306","1,442","538","109","83","376","57","8,794","311","293","137","2,860","0","374","607","211","299","0","219","296","182","686","152","485","0","143","0","466","84","179","119","0","2,765","318","113","1,508","784","41","151","66","439","32"
"6","male 16 and 17 years","71,643","583","920","476","4,701","162","377","544","2,604","1,042","423","0","4,837","701","640","83","3,136","1,593","807","368","766","479","14,822","335","573","434","5,823","0","307","806","733","620","223","1,062","217","395","1,391","12","815","82","89","175","391","0","812","175","297","4,146","476","216","1,536","213","283","869","235","164","0"
"7","female Under 5 years","189,054","719","588","1,381","12,455","296","947","1,349","6,831","1,694","462","178","22,169","1,314","524","338","6,971","3,200","1,458","550","1,578","369","39,910","656","456","566","12,464","29","936","1,791","901","765","460","1,896","1,990","598","3,951","235","3,169","675","1,088","886","939","0","1,723","1,180","1,029","9,245","205","251","6,344","287","1,530","4,076","1,111","995","95"
"8","female 5 years","31,381","173","0","149","1,687","0","245","127","819","723","0","0","3,145","333","132","0","994","942","116","243","146","0","4,766","122","0","111","3,292","0","0","252","164","0","95","792","292","0","1,233","0","860","490","0","0","0","0","206","228","369","1,524","97","0","310","0","0","860","401","93","65"
"9","female 6 to 11 years","238,288","564","211","4,139","16,848","464","1,820","2,164","7,243","2,952","1,047","398","17,646","1,011","1,031","427","10,558","5,260","1,912","690","684","206","52,510","425","156","407","16,200","161","762","2,568","1,097","2,803","1,160","2,473","3,482","1,846","4,214","884","3,722","496","466","605","327","150","907","2,155","1,458","12,483","450","577","3,883","135","90","5,623","1,218","3,097","606"
"10","female 12 to 14 years","111,475","921","337","1,918","7,401","179","834","356","3,569","1,067","252","71","10,887","1,271","319","249","4,794","2,051","962","615","629","99","21,097","606","412","762","8,644","0","83","732","181","303","433","929","997","1,393","2,450","321","678","79","686","146","199","73","291","1,086","661","6,928","225","863","2,079","338","209","1,855","585","1,699","12"
"11","female 15 years","42,050","101","0","428","3,473","41","870","450","1,580","873","484","0","3,285","672","0","179","2,512","371","296","284","66","87","9,288","0","0","157","3,066","0","0","196","131","0","0","943","624","257","491","218","600","0","219","0","193","0","39","377","56","2,595","32","306","498","0","0","725","89","254","0"
"12","female 16 and 17 years","68,551","66","172","661","5,541","49","211","488","2,348","1,294","50","845","5,869","737","204","302","2,288","687","248","323","129","173","12,310","184","140","420","6,403","41","139","572","222","0","148","474","643","279","1,216","86","567","0","336","222","193","43","95","304","511","4,646","13","165","1,589","269","33","1,703","638","887","148"
