"County","estimate"
"Anderson",23.5
"Andrews",13.2
"Angelina",22.5
"Aransas",29.9
"Archer",20.6
"Armstrong",5
"Atascosa",17.2
"Austin",14.5
"Bailey",15.1
"Bandera",20.2
"Bastrop",19
"Baylor",7.6
"Bee",27
"Bell",21.1
"Bexar",21.4
"Blanco",15.2
"Borden",0
"Bosque",17.1
"Bowie",22.8
"Brazoria",8.9
"Brazos",20.7
"Brewster",13.3
"Briscoe",6.4
"Brooks",41
"Brown",18.2
"Burleson",16.7
"Burnet",10.1
"Caldwell",18.5
"Calhoun",10.8
"Callahan",11.6
"Cameron",36.5
"Camp",27.8
"Carson",11.1
"Cass",29
"Castro",14.6
"Chambers",18.5
"Cherokee",22.4
"Childress",12.4
"Clay",8.6
"Cochran",31
"Coke",10.6
"Coleman",23.1
"Collin",7
"Collingsworth",23.9
"Colorado",6.8
"Comal",5.1
"Comanche",19.2
"Concho",38.1
"Cooke",24.3
"Coryell",12.7
"Cottle",38
"Crane",0
"Crockett",0
"Crosby",39.7
"Culberson",66.6
"Dallam",11.4
"Dallas",20.7
"Dawson",32.2
"Deaf Smith",22.2
"Delta",18.7
"Denton",8.4
"DeWitt",18.7
"Dickens",7
"Dimmit",57.9
"Donley",12.4
"Duval",31.4
"Eastland",16.6
"Ector",23
"Edwards",38.5
"Ellis",12.7
"El Paso",26.6
"Erath",15.5
"Falls",18.1
"Fannin",13.5
"Fayette",12.6
"Fisher",17.6
"Floyd",18.6
"Foard",53.1
"Fort Bend",8.4
"Franklin",11.9
"Freestone",12.9
"Frio",34.3
"Gaines",13.8
"Galveston",13.7
"Garza",25.9
"Gillespie",12.2
"Glasscock",4.9
"Goliad",6
"Gonzales",15.6
"Gray",21.3
"Grayson",15.8
"Gregg",23.7
"Grimes",20.5
"Guadalupe",11.7
"Hale",24.8
"Hall",28.6
"Hamilton",14.7
"Hansford",11.3
"Hardeman",12.9
"Hardin",15.3
"Harris",23.2
"Harrison",24.4
"Hartley",8
"Haskell",11.8
"Hays",11.4
"Hemphill",11.7
"Henderson",23.1
"Hidalgo",37.9
"Hill",19.2
"Hockley",18.4
"Hood",11.5
"Hopkins",17.2
"Houston",23.4
"Howard",15.7
"Hudspeth",26.3
"Hunt",16.7
"Hutchinson",15.6
"Irion",5.2
"Jack",22.5
"Jackson",12.9
"Jasper",33.2
"Jeff Davis",43.6
"Jefferson",26.6
"Jim Hogg",46.1
"Jim Wells",36.1
"Johnson",13.9
"Jones",10.6
"Karnes",34.2
"Kaufman",12.1
"Kendall",6.6
"Kenedy",0
"Kent",0
"Kerr",16.4
"Kimble",13.8
"King",13.7
"Kinney",46.4
"Kleberg",42.6
"Knox",11.9
"Lamar",23
"Lamb",20.1
"Lampasas",9.5
"La Salle",35.1
"Lavaca",14.6
"Lee",13.6
"Leon",19.3
"Liberty",23.7
"Limestone",32.2
"Lipscomb",18.2
"Live Oak",27.9
"Llano",22.3
"Loving",0
"Lubbock",17.8
"Lynn",29.5
"McCulloch",12.7
"McLennan",22.4
"McMullen",18.5
"Madison",13.3
"Marion",25.3
"Martin",26.1
"Mason",0
"Matagorda",32.2
"Maverick",31.4
"Medina",16.8
"Menard",18.8
"Midland",13.5
"Milam",20.4
"Mills",6.5
"Mitchell",6.3
"Montague",18.2
"Montgomery",11.6
"Moore",16.8
"Morris",19.1
"Motley",6.5
"Nacogdoches",27.2
"Navarro",21.8
"Newton",36.2
"Nolan",13.7
"Nueces",25.1
"Ochiltree",14.6
"Oldham",18.4
"Orange",16.4
"Palo Pinto",19.5
"Panola",23.6
"Parker",8.8
"Parmer",10.7
"Pecos",38.5
"Polk",26.3
"Potter",28.9
"Presidio",68.9
"Rains",12.4
"Randall",10.9
"Reagan",7
"Real",38.4
"Red River",27.4
"Reeves",31.8
"Refugio",25.5
"Roberts",20.7
"Robertson",16.2
"Rockwall",4.9
"Runnels",15.2
"Rusk",20.6
"Sabine",19.1
"San Augustine",36.6
"San Jacinto",24.6
"San Patricio",22.7
"San Saba",24.4
"Schleicher",16.6
"Scurry",14.4
"Shackelford",12.7
"Shelby",34.8
"Sherman",15.5
"Smith",17.3
"Somervell",6.2
"Starr",42.8
"Stephens",25
"Sterling",0
"Stonewall",6
"Sutton",23.1
"Swisher",39.8
"Tarrant",15.7
"Taylor",17.6
"Terrell",0
"Terry",37.4
"Throckmorton",31.4
"Titus",27.1
"Tom Green",15.8
"Travis",14.1
"Trinity",22.3
"Tyler",30.9
"Upshur",16.6
"Upton",27.9
"Uvalde",33.9
"Val Verde",17.5
"Van Zandt",17.1
"Victoria",22.3
"Walker",24.4
"Waller",13
"Ward",18.8
"Washington",14.5
"Webb",28.5
"Wharton",18
"Wheeler",24.5
"Wichita",20.6
"Wilbarger",26.7
"Willacy",32
"Williamson",6.9
"Wilson",12
"Winkler",19
"Wise",11.9
"Wood",14.6
"Yoakum",20.3
"Young",26.7
"Zapata",53.4
"Zavala",54.3
