Recoded detailed race code,Total,Total Recode for Recoded detailed Hispanic origin (HISP_RC4),Hispanic,Non Hispanic
Total,"19,794,033","4,737,435","2,588,669","2,148,766"
,"5,696,084","1,563,273","980,174","583,099"
White alone,"2,141,045","531,423","248,178","283,245"
Black or African American alone,"782,218","209,763","13,428","196,335"
American Indian alone,"39,955","8,623","7,785",838
Alaska Native alone,225,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","13,281","4,103","3,595",508
Asian alone,"201,538","41,166","2,661","38,505"
Native Hawaiian and Other Pacific Islander alone,"6,772",104,46,58
Some other race alone,"710,093","222,845","212,457","10,388"
Two or More Races,"1,800,957","545,246","492,024","53,222"
,"5,445,503","1,300,835","716,426","584,409"
White alone,"2,248,599","485,645","172,623","313,022"
Black or African American alone,"765,262","190,688","5,815","184,873"
American Indian alone,"45,841","13,692","12,153","1,539"
Alaska Native alone,435,18,0,18
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","15,617","3,401","2,796",605
Asian alone,"244,497","46,106","1,056","45,050"
Native Hawaiian and Other Pacific Islander alone,"13,351","2,300",993,"1,307"
Some other race alone,"683,393","179,291","176,101","3,190"
Two or More Races,"1,428,508","379,694","344,889","34,805"
,"4,348,508","928,998","532,399","396,599"
White alone,"1,720,884","305,778","97,224","208,554"
Black or African American alone,"598,506","124,235","1,785","122,450"
American Indian alone,"38,085","7,716","7,152",564
Alaska Native alone,578,452,0,452
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","10,269","2,125","1,838",287
Asian alone,"233,482","40,671","1,081","39,590"
Native Hawaiian and Other Pacific Islander alone,"8,964",606,206,400
Some other race alone,"559,831","148,139","144,417","3,722"
Two or More Races,"1,177,909","299,276","278,696","20,580"
,"3,117,182","665,992","276,614","389,378"
White alone,"1,583,150","299,583","46,983","252,600"
Black or African American alone,"385,426","88,220",34,"88,186"
American Indian alone,"19,874","5,770","4,484","1,286"
Alaska Native alone,233,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","5,636","1,383","1,171",212
Asian alone,"147,672","32,398",212,"32,186"
Native Hawaiian and Other Pacific Islander alone,"3,101",327,0,327
Some other race alone,"323,609","78,046","75,519","2,527"
Two or More Races,"648,481","160,265","148,211","12,054"
,"1,103,516","256,160","78,235","177,925"
White alone,"717,960","148,303","15,808","132,495"
Black or African American alone,"96,614","29,663",64,"29,599"
American Indian alone,"3,993","1,195",788,407
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",627,185,122,63
Asian alone,"49,972","10,105",91,"10,014"
Native Hawaiian and Other Pacific Islander alone,474,64,0,64
Some other race alone,"60,278","18,322","17,438",884
Two or More Races,"173,598","48,323","43,924","4,399"
,"83,240","22,177","4,821","17,356"
White alone,"57,659","15,855","1,508","14,347"
Black or African American alone,"5,725","1,595",0,"1,595"
American Indian alone,719,473,408,65
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,0,0,0
Asian alone,"2,368",412,0,412
Native Hawaiian and Other Pacific Islander alone,0,0,0,0
Some other race alone,"3,670","1,137","1,063",74
Two or More Races,"13,099","2,705","1,842",863
