Recoded detailed race code,Total,Total Recode for Recoded detailed Hispanic origin (HISP_RC4),Hispanic,Non Hispanic
Total,"19,794,033","29,813","7,579","22,234"
,"5,696,084","9,233","2,150","7,083"
White alone,"2,141,045","4,639",559,"4,080"
Black or African American alone,"782,218",910,0,910
American Indian alone,"39,955",0,0,0
Alaska Native alone,225,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","13,281",0,0,0
Asian alone,"201,538","1,922",0,"1,922"
Native Hawaiian and Other Pacific Islander alone,"6,772",0,0,0
Some other race alone,"710,093",237,237,0
Two or More Races,"1,800,957","1,525","1,354",171
,"5,445,503","6,558","1,927","4,631"
White alone,"2,248,599","4,984",649,"4,335"
Black or African American alone,"765,262",236,0,236
American Indian alone,"45,841",0,0,0
Alaska Native alone,435,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","15,617",0,0,0
Asian alone,"244,497",39,0,39
Native Hawaiian and Other Pacific Islander alone,"13,351",0,0,0
Some other race alone,"683,393",206,206,0
Two or More Races,"1,428,508","1,093","1,072",21
,"4,348,508","8,452","2,448","6,004"
White alone,"1,720,884","3,786",630,"3,156"
Black or African American alone,"598,506","1,183",0,"1,183"
American Indian alone,"38,085",54,23,31
Alaska Native alone,578,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","10,269",0,0,0
Asian alone,"233,482","1,485",0,"1,485"
Native Hawaiian and Other Pacific Islander alone,"8,964",292,225,67
Some other race alone,"559,831",828,828,0
Two or More Races,"1,177,909",824,742,82
,"3,117,182","4,831",994,"3,837"
White alone,"1,583,150","3,466",231,"3,235"
Black or African American alone,"385,426",280,0,280
American Indian alone,"19,874",29,0,29
Alaska Native alone,233,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","5,636",0,0,0
Asian alone,"147,672",65,0,65
Native Hawaiian and Other Pacific Islander alone,"3,101",0,0,0
Some other race alone,"323,609",57,57,0
Two or More Races,"648,481",934,706,228
,"1,103,516",693,60,633
White alone,"717,960",490,0,490
Black or African American alone,"96,614",77,0,77
American Indian alone,"3,993",0,0,0
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",627,0,0,0
Asian alone,"49,972",0,0,0
Native Hawaiian and Other Pacific Islander alone,474,0,0,0
Some other race alone,"60,278",0,0,0
Two or More Races,"173,598",126,60,66
,"83,240",46,0,46
White alone,"57,659",46,0,46
Black or African American alone,"5,725",0,0,0
American Indian alone,719,0,0,0
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,0,0,0
Asian alone,"2,368",0,0,0
Native Hawaiian and Other Pacific Islander alone,0,0,0,0
Some other race alone,"3,670",0,0,0
Two or More Races,"13,099",0,0,0
