"Label (Grouping)","Texas!!Estimate","Texas!!Margin of Error","Angelina County, Texas!!Estimate","Angelina County, Texas!!Margin of Error","Bastrop County, Texas!!Estimate","Bastrop County, Texas!!Margin of Error","Bell County, Texas!!Estimate","Bell County, Texas!!Margin of Error","Bexar County, Texas!!Estimate","Bexar County, Texas!!Margin of Error","Bowie County, Texas!!Estimate","Bowie County, Texas!!Margin of Error","Brazoria County, Texas!!Estimate","Brazoria County, Texas!!Margin of Error","Brazos County, Texas!!Estimate","Brazos County, Texas!!Margin of Error","Cameron County, Texas!!Estimate","Cameron County, Texas!!Margin of Error","Collin County, Texas!!Estimate","Collin County, Texas!!Margin of Error","Comal County, Texas!!Estimate","Comal County, Texas!!Margin of Error","Coryell County, Texas!!Estimate","Coryell County, Texas!!Margin of Error","Dallas County, Texas!!Estimate","Dallas County, Texas!!Margin of Error","Denton County, Texas!!Estimate","Denton County, Texas!!Margin of Error","Ector County, Texas!!Estimate","Ector County, Texas!!Margin of Error","Ellis County, Texas!!Estimate","Ellis County, Texas!!Margin of Error","El Paso County, Texas!!Estimate","El Paso County, Texas!!Margin of Error","Fort Bend County, Texas!!Estimate","Fort Bend County, Texas!!Margin of Error","Galveston County, Texas!!Estimate","Galveston County, Texas!!Margin of Error","Grayson County, Texas!!Estimate","Grayson County, Texas!!Margin of Error","Gregg County, Texas!!Estimate","Gregg County, Texas!!Margin of Error","Guadalupe County, Texas!!Estimate","Guadalupe County, Texas!!Margin of Error","Harris County, Texas!!Estimate","Harris County, Texas!!Margin of Error","Harrison County, Texas!!Estimate","Harrison County, Texas!!Margin of Error","Hays County, Texas!!Estimate","Hays County, Texas!!Margin of Error","Henderson County, Texas!!Estimate","Henderson County, Texas!!Margin of Error","Hidalgo County, Texas!!Estimate","Hidalgo County, Texas!!Margin of Error","Hood County, Texas!!Estimate","Hood County, Texas!!Margin of Error","Hunt County, Texas!!Estimate","Hunt County, Texas!!Margin of Error","Jefferson County, Texas!!Estimate","Jefferson County, Texas!!Margin of Error","Johnson County, Texas!!Estimate","Johnson County, Texas!!Margin of Error","Kaufman County, Texas!!Estimate","Kaufman County, Texas!!Margin of Error","Liberty County, Texas!!Estimate","Liberty County, Texas!!Margin of Error","Lubbock County, Texas!!Estimate","Lubbock County, Texas!!Margin of Error","McLennan County, Texas!!Estimate","McLennan County, Texas!!Margin of Error","Midland County, Texas!!Estimate","Midland County, Texas!!Margin of Error","Montgomery County, Texas!!Estimate","Montgomery County, Texas!!Margin of Error","Nacogdoches County, Texas!!Estimate","Nacogdoches County, Texas!!Margin of Error","Nueces County, Texas!!Estimate","Nueces County, Texas!!Margin of Error","Orange County, Texas!!Estimate","Orange County, Texas!!Margin of Error","Parker County, Texas!!Estimate","Parker County, Texas!!Margin of Error","Potter County, Texas!!Estimate","Potter County, Texas!!Margin of Error","Randall County, Texas!!Estimate","Randall County, Texas!!Margin of Error","Rockwall County, Texas!!Estimate","Rockwall County, Texas!!Margin of Error","San Patricio County, Texas!!Estimate","San Patricio County, Texas!!Margin of Error","Smith County, Texas!!Estimate","Smith County, Texas!!Margin of Error","Starr County, Texas!!Estimate","Starr County, Texas!!Margin of Error","Tarrant County, Texas!!Estimate","Tarrant County, Texas!!Margin of Error","Taylor County, Texas!!Estimate","Taylor County, Texas!!Margin of Error","Tom Green County, Texas!!Estimate","Tom Green County, Texas!!Margin of Error","Travis County, Texas!!Estimate","Travis County, Texas!!Margin of Error","Victoria County, Texas!!Estimate","Victoria County, Texas!!Margin of Error","Walker County, Texas!!Estimate","Walker County, Texas!!Margin of Error","Webb County, Texas!!Estimate","Webb County, Texas!!Margin of Error","Wichita County, Texas!!Estimate","Wichita County, Texas!!Margin of Error","Williamson County, Texas!!Estimate","Williamson County, Texas!!Margin of Error","Wise County, Texas!!Estimate","Wise County, Texas!!Margin of Error"
"Total:","29,889,559","±6,743","85,003","±111","106,929","±965","383,653","±1,797","2,050,426","±2,730","86,169","±266","383,693","±1,459","227,929","±680","422,700","±637","1,186,277","±859","192,079","±321","68,221","±1,543","2,574,214","±3,787","995,067","±1,064","162,619","±265","220,190","±639","854,897","±1,099","911,012","±626","355,805","±948","143,912","±432","122,746","±513","186,307","±401","4,781,041","±4,515","68,798","±97","271,310","±2,952","84,657","±360","889,735","±1,115","67,002","±132","109,753","±228","237,401","±827","199,359","±881","183,944","±344","102,749","±436","308,436","±735","260,478","±273","176,015","±39","707,790","±788","60,747","±314","346,269","±335","84,844","±388","171,740","±288","108,264","±1,423","145,728","±254","130,594","±76","69,996","±99","238,921","±820","65,517","±24","2,152,834","±1,949","141,074","±357","115,436","±317","1,311,462","±1,645","90,294","±436","62,421","±580","266,266","±680","119,623","±699","692,294","±588","76,433","±201"
"    Income in the past 12 months below poverty level:","4,086,851","±75,298","15,041","±3,175","12,056","±3,532","42,988","±6,720","301,718","±21,103","10,792","±2,554","32,560","±7,427","56,042","±5,606","99,450","±8,607","77,903","±9,350","13,535","±3,749","6,394","±2,298","352,823","±22,956","59,506","±6,732","14,682","±3,816","13,481","±3,360","158,190","±13,799","80,702","±12,685","39,687","±6,122","14,721","±3,575","20,021","±3,412","14,360","±3,627","766,972","±29,866","12,453","±2,600","28,411","±5,344","15,086","±3,123","241,645","±14,262","4,220","±1,351","14,032","±3,448","48,219","±6,205","20,393","±5,133","18,831","±6,249","12,354","±4,445","54,383","±6,795","44,536","±6,702","20,652","±6,428","75,724","±11,729","11,705","±2,647","59,137","±7,852","11,879","±3,134","15,254","±3,555","17,678","±4,180","12,085","±3,499","5,599","±2,329","12,817","±3,596","31,621","±5,662","18,974","±4,203","235,252","±17,232","17,618","±3,940","17,369","±3,410","133,988","±12,217","11,838","±3,551","14,029","±3,403","60,340","±7,950","21,775","±3,449","48,238","±7,294","7,024","±2,912"
"        Male:","1,819,660","±42,245","7,724","±1,720","6,583","±2,124","16,645","±3,752","139,353","±12,089","4,740","±1,566","13,883","±4,065","26,413","±3,405","44,419","±4,420","35,550","±4,507","5,369","±1,596","2,067","±860","160,406","±12,000","25,389","±4,046","6,995","±2,011","5,338","±1,703","67,528","±7,680","36,018","±6,561","18,016","±3,153","6,173","±1,964","9,391","±1,971","7,246","±2,692","339,792","±15,503","5,309","±1,505","12,171","±3,113","7,251","±1,951","108,190","±7,934","1,638","±702","6,757","±1,831","22,174","±3,627","10,462","±2,654","8,209","±3,053","5,464","±2,476","22,695","±2,953","17,420","±4,086","7,929","±2,855","34,042","±5,062","4,752","±1,455","27,270","±4,288","5,738","±2,053","7,051","±2,031","9,314","±2,534","5,180","±1,776","2,346","±1,313","4,532","±1,887","13,816","±2,815","8,641","±2,278","104,325","±9,265","8,079","±2,276","8,707","±1,919","68,583","±6,526","5,414","±2,089","4,538","±1,474","24,889","±4,299","9,951","±1,628","20,822","±4,000","3,061","±1,327"
"            Under 5 years","181,536","±9,430","297","±223","585","±522","1,599","±964","14,061","±3,184","438","±542","1,346","±931","766","±597","4,785","±1,329","4,032","±1,353","78","±144","106","±125","19,861","±3,476","1,603","±857","890","±558","352","±270","6,982","±1,808","2,571","±1,161","1,523","±796","424","±330","892","±582","1,017","±705","38,096","±4,127","374","±331","760","±795","541","±351","12,635","±1,874","0","±236","1,399","±581","2,428","±793","421","±335","313","±303","488","±448","2,494","±968","1,436","±638","274","±371","2,203","±1,017","544","±494","5,036","±1,296","43","±67","65","±93","1,025","±668","244","±301","46","±100","167","±324","893","±595","945","±742","11,373","±2,682","793","±457","1,136","±581","4,562","±1,916","0","±236","17","±36","3,838","±1,452","1,174","±484","2,650","±1,880","525","±382"
"            5 years","34,665","±4,236","134","±166","0","±236","92","±157","3,143","±1,113","106","±163","620","±438","874","±716","792","±624","133","±173","174","±227","135","±159","3,958","±1,886","155","±166","196","±309","0","±236","765","±493","0","±236","599","±503","48","±75","0","±236","402","±469","8,085","±2,098","519","±590","65","±107","103","±131","1,510","±639","0","±236","51","±88","127","±204","187","±245","286","±452","112","±182","615","±483","219","±293","195","±311","1,150","±846","235","±227","422","±415","0","±236","71","±124","311","±352","0","±236","0","±236","9","±16","176","±261","238","±295","1,562","±940","0","±236","0","±236","1,088","±757","196","±317","17","±36","1,029","±775","62","±106","0","±236","43","±73"
"            6 to 11 years","242,695","±12,646","1,817","±734","579","±524","3,145","±1,812","17,304","±3,356","660","±362","1,925","±1,198","2,098","±1,157","6,984","±1,819","3,756","±1,678","421","±429","131","±152","18,975","±2,789","1,979","±746","314","±290","683","±590","8,390","±1,899","5,055","±1,592","2,967","±1,460","1,086","±665","1,577","±765","530","±638","48,083","±5,419","623","±430","759","±1,012","608","±438","22,128","±2,966","50","±71","544","±394","2,681","±935","1,707","±949","1,561","±950","395","±362","2,394","±1,119","2,357","±1,149","1,810","±1,607","6,103","±2,135","741","±387","2,275","±962","943","±1,065","713","±489","986","±584","645","±483","288","±414","512","±409","1,957","±1,069","1,479","±830","13,832","±2,351","852","±597","717","±650","6,163","±2,120","337","±419","161","±246","5,410","±1,751","1,923","±1,013","1,639","±804","228","±271"
"            12 to 14 years","118,646","±9,404","428","±459","647","±654","884","±610","9,491","±2,958","258","±244","1,199","±818","431","±408","3,323","±1,136","1,417","±610","135","±244","310","±420","12,209","±3,268","817","±522","380","±400","146","±155","4,896","±1,972","2,673","±1,364","781","±573","284","±317","968","±559","478","±644","23,825","±3,891","198","±369","396","±532","197","±151","9,727","±1,955","11","±23","384","±450","1,292","±980","877","±705","620","±539","813","±1,201","901","±649","1,015","±736","538","±612","2,298","±849","186","±166","2,383","±1,170","922","±1,035","57","±101","1,026","±675","0","±236","249","±413","539","±525","869","±594","326","±345","6,813","±1,599","384","±337","235","±275","2,240","±1,319","665","±629","385","±354","694","±394","317","±324","1,636","±933","400","±424"
"            15 years","41,540","±3,862","116","±139","0","±236","763","±617","2,120","±941","67","±135","14","±25","330","±286","1,095","±473","755","±486","0","±236","0","±236","3,973","±1,620","396","±244","101","±200","306","±227","1,442","±704","538","±674","109","±173","83","±104","376","±270","57","±98","8,794","±2,157","311","±209","293","±384","137","±181","2,860","±852","0","±236","374","±408","607","±541","211","±235","299","±274","0","±236","219","±192","296","±266","182","±305","686","±496","152","±189","485","±379","0","±236","143","±173","0","±236","466","±621","84","±127","179","±181","119","±186","0","±236","2,765","±1,041","318","±391","113","±162","1,508","±1,192","784","±866","41","±71","151","±175","66","±113","439","±435","32","±62"
"            16 and 17 years","71,643","±5,476","583","±511","920","±467","476","±386","4,701","±1,560","162","±190","377","±245","544","±340","2,604","±814","1,042","±641","423","±380","0","±236","4,837","±1,638","701","±430","640","±488","83","±148","3,136","±1,164","1,593","±1,115","807","±539","368","±420","766","±521","479","±497","14,822","±2,548","335","±316","573","±476","434","±366","5,823","±1,367","0","±236","307","±383","806","±594","733","±721","620","±426","223","±276","1,062","±642","217","±268","395","±497","1,391","±749","12","±23","815","±474","82","±167","89","±115","175","±268","391","±523","0","±236","812","±424","175","±199","297","±256","4,146","±1,493","476","±459","216","±293","1,536","±1,121","213","±237","283","±467","869","±432","235","±375","164","±141","0","±236"
"            18 to 24 years","227,577","±10,055","826","±816","669","±580","1,167","±764","17,784","±3,252","393","±402","1,869","±999","15,811","±2,158","4,675","±1,135","4,431","±1,345","745","±547","87","±121","20,596","±3,257","6,489","±2,214","194","±284","374","±252","8,570","±2,122","2,689","±1,379","1,392","±609","236","±171","858","±404","495","±361","33,153","±4,238","521","±547","4,381","±1,577","769","±578","10,946","±2,105","146","±185","379","±386","2,607","±1,255","748","±623","328","±407","326","±330","6,748","±1,375","4,075","±2,339","1,046","±1,295","2,146","±1,017","939","±691","2,311","±1,258","1,359","±1,005","172","±182","1,324","±620","486","±460","177","±227","174","±323","838","±487","443","±386","14,025","±2,887","1,190","±853","1,062","±773","14,314","±2,571","264","±289","2,095","±1,029","2,801","±981","1,816","±831","2,902","±1,177","421","±382"
