Recoded detailed race code,Total,Total Recode for Recoded detailed Hispanic origin (HISP_RC4),Hispanic,Non Hispanic
Total,"19,794,033","3,461,344","1,860,831","1,600,513"
,"5,696,084","1,248,257","791,657","456,600"
White alone,"2,141,045","353,785","179,870","173,915"
Black or African American alone,"782,218","221,369","12,385","208,984"
American Indian alone,"39,955","12,881","12,372",509
Alaska Native alone,225,166,166,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","13,281","3,713","3,205",508
Asian alone,"201,538","31,669",527,"31,142"
Native Hawaiian and Other Pacific Islander alone,"6,772",402,110,292
Some other race alone,"710,093","184,675","181,301","3,374"
Two or More Races,"1,800,957","439,597","401,721","37,876"
,"5,445,503","941,227","483,403","457,824"
White alone,"2,248,599","357,369","118,600","238,769"
Black or African American alone,"765,262","147,648","4,986","142,662"
American Indian alone,"45,841","9,475","8,391","1,084"
Alaska Native alone,435,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","15,617","3,206","2,340",866
Asian alone,"244,497","46,178","1,154","45,024"
Native Hawaiian and Other Pacific Islander alone,"13,351",868,527,341
Some other race alone,"683,393","129,429","126,354","3,075"
Two or More Races,"1,428,508","247,054","221,051","26,003"
,"4,348,508","620,563","337,131","283,432"
White alone,"1,720,884","200,964","61,127","139,837"
Black or African American alone,"598,506","97,829","1,849","95,980"
American Indian alone,"38,085","6,147","5,283",864
Alaska Native alone,578,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","10,269","1,906","1,791",115
Asian alone,"233,482","28,435",731,"27,704"
Native Hawaiian and Other Pacific Islander alone,"8,964","1,167",410,757
Some other race alone,"559,831","92,931","90,554","2,377"
Two or More Races,"1,177,909","191,184","175,386","15,798"
,"3,117,182","471,320","186,960","284,360"
White alone,"1,583,150","217,434","35,717","181,717"
Black or African American alone,"385,426","71,892",348,"71,544"
American Indian alone,"19,874","3,188","2,434",754
Alaska Native alone,233,31,0,31
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races","5,636","1,050",685,365
Asian alone,"147,672","19,001",139,"18,862"
Native Hawaiian and Other Pacific Islander alone,"3,101",397,40,357
Some other race alone,"323,609","56,967","56,053",914
Two or More Races,"648,481","101,360","91,544","9,816"
,"1,103,516","165,417","57,550","107,867"
White alone,"717,960","86,561","10,663","75,898"
Black or African American alone,"96,614","18,415",151,"18,264"
American Indian alone,"3,993",445,363,82
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",627,0,0,0
Asian alone,"49,972","10,309",249,"10,060"
Native Hawaiian and Other Pacific Islander alone,474,29,29,0
Some other race alone,"60,278","14,011","13,918",93
Two or More Races,"173,598","35,647","32,177","3,470"
,"83,240","14,560","4,130","10,430"
White alone,"57,659","8,325",961,"7,364"
Black or African American alone,"5,725","1,653",0,"1,653"
American Indian alone,719,30,30,0
Alaska Native alone,0,0,0,0
"American Indian and Alaska Native tribes specified; or American Indian or Alaska Native, not specified and no other races",0,0,0,0
Asian alone,"2,368",714,0,714
Native Hawaiian and Other Pacific Islander alone,0,0,0,0
Some other race alone,"3,670",745,745,0
Two or More Races,"13,099","3,093","2,394",699
