LocationType,Location,TimeFrame,DataFormat,Data
State,Texas,1989,Number,3000515
State,Texas,1993,Number,3594462
State,Texas,1995,Number,3500326
State,Texas,1997,Number,3259559
State,Texas,1998,Number,3102571
State,Texas,1999,Number,3117609
State,Texas,2000,Number,3041115
State,Texas,2001,Number,3181404
State,Texas,2002,Number,3341247
State,Texas,2003,Number,3563587
State,Texas,2004,Number,3610126
State,Texas,2005,Number,3886632
State,Texas,2006,Number,3862741
State,Texas,2007,Number,3787071
State,Texas,2008,Number,3755944
State,Texas,2009,Number,4143077
State,Texas,2010,Number,4411273
State,Texas,2011,Number,4627604
State,Texas,2012,Number,4565185
State,Texas,2013,Number,4531427
State,Texas,2015,Number,4255690
State,Texas,2014,Number,4519548
State,Texas,2016,Number,4261291
State,Texas,2017,Number,4080377
State,Texas,2018,Number,4181623
State,Texas,2019,Number,3870944
State,Texas,2019,Percent,0.136
State,Texas,2018,Percent,0.149
State,Texas,2017,Percent,0.147
State,Texas,2016,Percent,0.156
State,Texas,2014,Percent,0.172
State,Texas,2015,Percent,0.159
State,Texas,2013,Percent,0.175
State,Texas,2012,Percent,0.17937
State,Texas,2011,Percent,0.185
State,Texas,2010,Percent,0.179
State,Texas,2009,Percent,0.171
State,Texas,2008,Percent,0.158
State,Texas,2006,Percent,0.169
State,Texas,2007,Percent,0.163
State,Texas,1989,Percent,0.181
State,Texas,1993,Percent,0.196
State,Texas,1995,Percent,0.185
State,Texas,1997,Percent,0.167
State,Texas,1998,Percent,0.156
State,Texas,1999,Percent,0.154
State,Texas,2000,Percent,0.146
State,Texas,2001,Percent,0.15
State,Texas,2002,Percent,0.154
State,Texas,2003,Percent,0.162
State,Texas,2004,Percent,0.162
State,Texas,2005,Percent,0.175
State,Texas,2020,Number,3862713
State,Texas,2020,Percent,0.134
State,Texas,2021,Number,4122799
State,Texas,2021,Percent,0.142
State,Texas,2022,Number,4118852
State,Texas,2022,Percent,0.14
County,Anderson,2007,Percent,0.189
County,Anderson,2006,Percent,0.193
County,Anderson,2008,Percent,0.212
County,Anderson,2009,Percent,0.243
County,Anderson,2010,Percent,0.209
County,Anderson,2011,Percent,0.233
County,Anderson,2012,Percent,0.22536
County,Anderson,2013,Percent,0.224
County,Anderson,2015,Percent,0.21
County,Anderson,2014,Percent,0.204
County,Anderson,2016,Percent,0.205
County,Anderson,1989,Percent,0.184
County,Anderson,1993,Percent,0.208
County,Anderson,1995,Percent,0.201
County,Anderson,1997,Percent,0.204
County,Anderson,1998,Percent,0.186
County,Anderson,1999,Percent,0.165
County,Anderson,2000,Percent,0.205
County,Anderson,2001,Percent,0.215
County,Anderson,2002,Percent,0.227
County,Anderson,2003,Percent,0.201
County,Anderson,2004,Percent,0.21
County,Anderson,2005,Percent,0.22
County,Anderson,2017,Percent,0.188
County,Anderson,2018,Percent,0.198
County,Anderson,2019,Percent,0.198
County,Anderson,2019,Number,8702
County,Anderson,2018,Number,8778
County,Anderson,2017,Number,8388
County,Anderson,2016,Number,9044
County,Anderson,2014,Number,8970
County,Anderson,2015,Number,9186
County,Anderson,2013,Number,9930
County,Anderson,2012,Number,10027
County,Anderson,2011,Number,10422
County,Anderson,2010,Number,9372
County,Anderson,2009,Number,10263
County,Anderson,2008,Number,8866
County,Anderson,2007,Number,7890
County,Anderson,2006,Number,8101
County,Anderson,1989,Number,6950
County,Anderson,1993,Number,8281
County,Anderson,1995,Number,8120
County,Anderson,1997,Number,8302
County,Anderson,1998,Number,7593
County,Anderson,1999,Number,6654
County,Anderson,2000,Number,8300
County,Anderson,2001,Number,8814
County,Anderson,2002,Number,9403
County,Anderson,2003,Number,8345
County,Anderson,2004,Number,8774
County,Anderson,2005,Number,9112
County,Anderson,2020,Number,9242
County,Anderson,2020,Percent,0.209
County,Anderson,2021,Number,9124
County,Anderson,2021,Percent,0.204
County,Anderson,2022,Number,8553
County,Anderson,2022,Percent,0.193
County,Andrews,1989,Number,2378
County,Andrews,1993,Number,2357
County,Andrews,1995,Number,2282
County,Andrews,1997,Number,2225
County,Andrews,1998,Number,2097
County,Andrews,1999,Number,2117
County,Andrews,2000,Number,1889
County,Andrews,2001,Number,1739
County,Andrews,2002,Number,1726
County,Andrews,2003,Number,1913
County,Andrews,2004,Number,1876
County,Andrews,2005,Number,2013
County,Andrews,2006,Number,1879
County,Andrews,2007,Number,1988
County,Andrews,2008,Number,1811
County,Andrews,2009,Number,1744
County,Andrews,2010,Number,1992
County,Andrews,2011,Number,2046
County,Andrews,2012,Number,1806
County,Andrews,2013,Number,1908
County,Andrews,2015,Number,1864
County,Andrews,2014,Number,1858
County,Andrews,2016,Number,2073
County,Andrews,2017,Number,2293
County,Andrews,2018,Number,1922
County,Andrews,2019,Number,1888
County,Andrews,2019,Percent,0.102
County,Andrews,2018,Percent,0.107
County,Andrews,2017,Percent,0.13
County,Andrews,1989,Percent,0.168
County,Andrews,1993,Percent,0.164
County,Andrews,1995,Percent,0.162
County,Andrews,1997,Percent,0.158
County,Andrews,1998,Percent,0.152
County,Andrews,1999,Percent,0.164
County,Andrews,2000,Percent,0.149
County,Andrews,2001,Percent,0.136
County,Andrews,2002,Percent,0.135
County,Andrews,2003,Percent,0.15
County,Andrews,2004,Percent,0.148
County,Andrews,2005,Percent,0.159
County,Andrews,2016,Percent,0.117
County,Andrews,2014,Percent,0.107
County,Andrews,2015,Percent,0.104
County,Andrews,2013,Percent,0.114
County,Andrews,2012,Percent,0.1129
County,Andrews,2011,Percent,0.133
County,Andrews,2010,Percent,0.135
County,Andrews,2009,Percent,0.125
County,Andrews,2008,Percent,0.134
County,Andrews,2006,Percent,0.147
County,Andrews,2007,Percent,0.153
County,Andrews,2020,Number,1722
County,Andrews,2020,Percent,0.092
County,Andrews,2021,Number,2168
County,Andrews,2021,Percent,0.118
County,Andrews,2022,Number,2223
County,Andrews,2022,Percent,0.122
County,Angelina,2007,Percent,0.193
County,Angelina,2006,Percent,0.154
County,Angelina,2008,Percent,0.201
County,Angelina,2009,Percent,0.17
County,Angelina,2010,Percent,0.19
County,Angelina,2011,Percent,0.191
County,Angelina,2012,Percent,0.20796
County,Angelina,2013,Percent,0.215
County,Angelina,2015,Percent,0.179
County,Angelina,2014,Percent,0.179
County,Angelina,2016,Percent,0.19
County,Angelina,1989,Percent,0.187
County,Angelina,1993,Percent,0.185
County,Angelina,1995,Percent,0.176
County,Angelina,1997,Percent,0.173
County,Angelina,1998,Percent,0.167
County,Angelina,1999,Percent,0.158
County,Angelina,2000,Percent,0.163
County,Angelina,2001,Percent,0.169
County,Angelina,2002,Percent,0.17
County,Angelina,2003,Percent,0.173
County,Angelina,2004,Percent,0.173
County,Angelina,2005,Percent,0.199
County,Angelina,2017,Percent,0.2
County,Angelina,2018,Percent,0.179
County,Angelina,2019,Percent,0.156
County,Angelina,2019,Number,13131
County,Angelina,2018,Number,15052
County,Angelina,2017,Number,16969
County,Angelina,2016,Number,16085
County,Angelina,2014,Number,15136
County,Angelina,2015,Number,15301
County,Angelina,2013,Number,18157
County,Angelina,2012,Number,17598
County,Angelina,2011,Number,16207
County,Angelina,2010,Number,15921
County,Angelina,2009,Number,13793
County,Angelina,2008,Number,16158
County,Angelina,2007,Number,15497
County,Angelina,2006,Number,12290
County,Angelina,1989,Number,12750
County,Angelina,1993,Number,13632
County,Angelina,1995,Number,13198
County,Angelina,1997,Number,13190
County,Angelina,1998,Number,12758
County,Angelina,1999,Number,12241
County,Angelina,2000,Number,12668
County,Angelina,2001,Number,13131
County,Angelina,2002,Number,13385
County,Angelina,2003,Number,13647
County,Angelina,2004,Number,13709
County,Angelina,2005,Number,15622
County,Angelina,2020,Number,14330
County,Angelina,2020,Percent,0.17
County,Angelina,2021,Number,15434
County,Angelina,2021,Percent,0.184
County,Angelina,2022,Number,13520
County,Angelina,2022,Percent,0.159
County,Aransas,1989,Number,4450
County,Aransas,1993,Number,4685
County,Aransas,1995,Number,4861
County,Aransas,1997,Number,5180
County,Aransas,1998,Number,4800
County,Aransas,1999,Number,4429
County,Aransas,2000,Number,4591
County,Aransas,2001,Number,4691
County,Aransas,2002,Number,4621
County,Aransas,2003,Number,4397
County,Aransas,2004,Number,4593
County,Aransas,2005,Number,4974
County,Aransas,2006,Number,5171
County,Aransas,2007,Number,4416
County,Aransas,2008,Number,4751
County,Aransas,2009,Number,4701
County,Aransas,2010,Number,5058
County,Aransas,2011,Number,4862
County,Aransas,2012,Number,4570
County,Aransas,2013,Number,4933
County,Aransas,2015,Number,4510
County,Aransas,2014,Number,4280
County,Aransas,2016,Number,4751
County,Aransas,2017,Number,4544
County,Aransas,2018,Number,4642
County,Aransas,2019,Number,4313
County,Aransas,2019,Percent,0.187
County,Aransas,2018,Percent,0.199
County,Aransas,2017,Percent,0.181
County,Aransas,1989,Percent,0.252
County,Aransas,1993,Percent,0.224
County,Aransas,1995,Percent,0.222
County,Aransas,1997,Percent,0.227
County,Aransas,1998,Percent,0.206
County,Aransas,1999,Percent,0.199
County,Aransas,2000,Percent,0.206
County,Aransas,2001,Percent,0.206
County,Aransas,2002,Percent,0.198
County,Aransas,2003,Percent,0.185
County,Aransas,2004,Percent,0.189
County,Aransas,2005,Percent,0.206
County,Aransas,2016,Percent,0.188
County,Aransas,2014,Percent,0.175
County,Aransas,2015,Percent,0.182
County,Aransas,2013,Percent,0.207
County,Aransas,2012,Percent,0.19605
County,Aransas,2011,Percent,0.213
County,Aransas,2010,Percent,0.223
County,Aransas,2009,Percent,0.192
County,Aransas,2008,Percent,0.193
County,Aransas,2006,Percent,0.212
County,Aransas,2007,Percent,0.182
County,Aransas,2020,Number,3986
County,Aransas,2020,Percent,0.171
County,Aransas,2021,Number,3629
County,Aransas,2021,Percent,0.151
County,Aransas,2022,Number,4263
County,Aransas,2022,Percent,0.174
County,Archer,2007,Percent,0.081
County,Archer,2006,Percent,0.089
County,Archer,2008,Percent,0.085
County,Archer,2009,Percent,0.107
County,Archer,2010,Percent,0.111
County,Archer,2011,Percent,0.118
County,Archer,2012,Percent,0.09424
County,Archer,2013,Percent,0.101
County,Archer,2015,Percent,0.095
County,Archer,2014,Percent,0.094
County,Archer,2016,Percent,0.105
County,Archer,1989,Percent,0.116
County,Archer,1993,Percent,0.111
County,Archer,1995,Percent,0.102
County,Archer,1997,Percent,0.093
County,Archer,1998,Percent,0.102
County,Archer,1999,Percent,0.09
County,Archer,2000,Percent,0.1
County,Archer,2001,Percent,0.097
County,Archer,2002,Percent,0.087
County,Archer,2003,Percent,0.091
County,Archer,2004,Percent,0.097
County,Archer,2005,Percent,0.097
County,Archer,2017,Percent,0.101
County,Archer,2018,Percent,0.106
County,Archer,2019,Percent,0.103
County,Archer,2019,Number,877
County,Archer,2018,Number,922
County,Archer,2017,Number,882
County,Archer,2016,Number,909
County,Archer,2014,Number,822
County,Archer,2015,Number,826
County,Archer,2013,Number,868
County,Archer,2012,Number,818
County,Archer,2011,Number,1033
County,Archer,2010,Number,997
County,Archer,2009,Number,943
County,Archer,2008,Number,772
County,Archer,2007,Number,727
County,Archer,2006,Number,814
County,Archer,1989,Number,917
County,Archer,1993,Number,892
County,Archer,1995,Number,843
County,Archer,1997,Number,778
County,Archer,1998,Number,850
County,Archer,1999,Number,788
County,Archer,2000,Number,886
County,Archer,2001,Number,876
County,Archer,2002,Number,793
County,Archer,2003,Number,844
County,Archer,2004,Number,875
County,Archer,2005,Number,870
County,Archer,2020,Number,596
County,Archer,2020,Percent,0.069
County,Archer,2021,Number,829
County,Archer,2021,Percent,0.096
County,Archer,2022,Number,789
County,Archer,2022,Percent,0.09
County,Armstrong,1989,Number,232
County,Armstrong,1993,Number,206
County,Armstrong,1995,Number,205
County,Armstrong,1997,Number,238
County,Armstrong,1998,Number,228
County,Armstrong,1999,Number,219
County,Armstrong,2000,Number,256
County,Armstrong,2001,Number,224
County,Armstrong,2002,Number,214
County,Armstrong,2003,Number,202
County,Armstrong,2004,Number,203
County,Armstrong,2005,Number,229
County,Armstrong,2006,Number,229
County,Armstrong,2007,Number,189
County,Armstrong,2008,Number,203
County,Armstrong,2009,Number,202
County,Armstrong,2010,Number,163
County,Armstrong,2011,Number,199
County,Armstrong,2012,Number,207
County,Armstrong,2013,Number,208
County,Armstrong,2015,Number,196
County,Armstrong,2014,Number,208
County,Armstrong,2016,Number,197
County,Armstrong,2017,Number,193
County,Armstrong,2018,Number,197
County,Armstrong,2019,Number,194
County,Armstrong,2019,Percent,0.106
County,Armstrong,2018,Percent,0.107
County,Armstrong,2017,Percent,0.106
County,Armstrong,1989,Percent,0.118
County,Armstrong,1993,Percent,0.101
County,Armstrong,1995,Percent,0.097
County,Armstrong,1997,Percent,0.112
County,Armstrong,1998,Percent,0.106
County,Armstrong,1999,Percent,0.106
County,Armstrong,2000,Percent,0.122
County,Armstrong,2001,Percent,0.111
County,Armstrong,2002,Percent,0.108
County,Armstrong,2003,Percent,0.097
County,Armstrong,2004,Percent,0.097
County,Armstrong,2005,Percent,0.11
County,Armstrong,2016,Percent,0.108
County,Armstrong,2014,Percent,0.11
County,Armstrong,2015,Percent,0.104
County,Armstrong,2013,Percent,0.11
County,Armstrong,2012,Percent,0.10981
County,Armstrong,2011,Percent,0.106
County,Armstrong,2010,Percent,0.088
County,Armstrong,2009,Percent,0.102
County,Armstrong,2008,Percent,0.1
County,Armstrong,2006,Percent,0.113
County,Armstrong,2007,Percent,0.095
County,Armstrong,2020,Number,169
County,Armstrong,2020,Percent,0.093
County,Armstrong,2021,Number,178
County,Armstrong,2021,Percent,0.099
County,Armstrong,2022,Number,184
County,Armstrong,2022,Percent,0.102
County,Atascosa,2007,Percent,0.181
County,Atascosa,2006,Percent,0.197
County,Atascosa,2008,Percent,0.182
County,Atascosa,2009,Percent,0.185
County,Atascosa,2010,Percent,0.204
County,Atascosa,2011,Percent,0.218
County,Atascosa,2012,Percent,0.1781
County,Atascosa,2013,Percent,0.178
County,Atascosa,2015,Percent,0.204
County,Atascosa,2014,Percent,0.169
County,Atascosa,2016,Percent,0.163
County,Atascosa,1989,Percent,0.299
County,Atascosa,1993,Percent,0.253
County,Atascosa,1995,Percent,0.252
County,Atascosa,1997,Percent,0.23
County,Atascosa,1998,Percent,0.222
County,Atascosa,1999,Percent,0.202
County,Atascosa,2000,Percent,0.191
County,Atascosa,2001,Percent,0.188
County,Atascosa,2002,Percent,0.186
County,Atascosa,2003,Percent,0.19
County,Atascosa,2004,Percent,0.189
County,Atascosa,2005,Percent,0.221
County,Atascosa,2017,Percent,0.169
County,Atascosa,2018,Percent,0.157
County,Atascosa,2019,Percent,0.147
County,Atascosa,2019,Number,7434
County,Atascosa,2018,Number,7803
County,Atascosa,2017,Number,8217
County,Atascosa,2016,Number,7867
County,Atascosa,2014,Number,7988
County,Atascosa,2015,Number,9797
County,Atascosa,2013,Number,8294
County,Atascosa,2012,Number,8184
County,Atascosa,2011,Number,9848
County,Atascosa,2010,Number,9058
County,Atascosa,2009,Number,8158
County,Atascosa,2008,Number,7897
County,Atascosa,2007,Number,7774
County,Atascosa,2006,Number,8532
County,Atascosa,1989,Number,8973
County,Atascosa,1993,Number,8344
County,Atascosa,1995,Number,8747
County,Atascosa,1997,Number,8373
County,Atascosa,1998,Number,8298
County,Atascosa,1999,Number,7701
County,Atascosa,2000,Number,7551
County,Atascosa,2001,Number,7668
County,Atascosa,2002,Number,7741
County,Atascosa,2003,Number,8026
County,Atascosa,2004,Number,8106
County,Atascosa,2005,Number,9424
County,Atascosa,2020,Number,7618
County,Atascosa,2020,Percent,0.149
County,Atascosa,2021,Number,8151
County,Atascosa,2021,Percent,0.164
County,Atascosa,2022,Number,8191
County,Atascosa,2022,Percent,0.162
County,Austin,1989,Number,3212
County,Austin,1993,Number,3196
County,Austin,1995,Number,3197
County,Austin,1997,Number,3080
County,Austin,1998,Number,2814
County,Austin,1999,Number,2814
County,Austin,2000,Number,2563
County,Austin,2001,Number,2587
County,Austin,2002,Number,2514
County,Austin,2003,Number,2899
County,Austin,2004,Number,2888
County,Austin,2005,Number,3072
County,Austin,2006,Number,2991
County,Austin,2007,Number,2867
County,Austin,2008,Number,2813
County,Austin,2009,Number,2961
County,Austin,2010,Number,3525
County,Austin,2011,Number,3685
County,Austin,2012,Number,3356
County,Austin,2013,Number,3871
County,Austin,2015,Number,3720
County,Austin,2014,Number,3243
County,Austin,2016,Number,4213
County,Austin,2017,Number,3153
County,Austin,2018,Number,3031
County,Austin,2019,Number,3312
County,Austin,2019,Percent,0.111
County,Austin,2018,Percent,0.102
County,Austin,2017,Percent,0.107
County,Austin,1989,Percent,0.164
County,Austin,1993,Percent,0.146
County,Austin,1995,Percent,0.141
County,Austin,1997,Percent,0.131
County,Austin,1998,Percent,0.117
County,Austin,1999,Percent,0.121
County,Austin,2000,Percent,0.107
County,Austin,2001,Percent,0.106
County,Austin,2002,Percent,0.101
County,Austin,2003,Percent,0.113
County,Austin,2004,Percent,0.112
County,Austin,2005,Percent,0.119
County,Austin,2016,Percent,0.143
County,Austin,2014,Percent,0.112
County,Austin,2015,Percent,0.127
County,Austin,2013,Percent,0.136
County,Austin,2012,Percent,0.11844
County,Austin,2011,Percent,0.13
County,Austin,2010,Percent,0.125
County,Austin,2009,Percent,0.11
County,Austin,2008,Percent,0.106
County,Austin,2006,Percent,0.115
County,Austin,2007,Percent,0.109
County,Austin,2020,Number,3378
County,Austin,2020,Percent,0.114
County,Austin,2021,Number,3122
County,Austin,2021,Percent,0.104
County,Austin,2022,Number,4625
County,Austin,2022,Percent,0.15
County,Bailey,2007,Percent,0.198
County,Bailey,2006,Percent,0.189
County,Bailey,2008,Percent,0.174
County,Bailey,2009,Percent,0.179
County,Bailey,2010,Percent,0.188
County,Bailey,2011,Percent,0.179
County,Bailey,2012,Percent,0.17531
County,Bailey,2013,Percent,0.199
County,Bailey,2015,Percent,0.158
County,Bailey,2014,Percent,0.199
County,Bailey,2016,Percent,0.166
County,Bailey,1989,Percent,0.24
County,Bailey,1993,Percent,0.232
County,Bailey,1995,Percent,0.248
County,Bailey,1997,Percent,0.242
County,Bailey,1998,Percent,0.232
County,Bailey,1999,Percent,0.167
County,Bailey,2000,Percent,0.197
County,Bailey,2001,Percent,0.197
County,Bailey,2002,Percent,0.184
County,Bailey,2003,Percent,0.179
County,Bailey,2004,Percent,0.176
County,Bailey,2005,Percent,0.185
County,Bailey,2017,Percent,0.172
County,Bailey,2018,Percent,0.158
County,Bailey,2019,Percent,0.159
County,Bailey,2019,Number,1093
County,Bailey,2018,Number,1087
County,Bailey,2017,Number,1191
County,Bailey,2016,Number,1165
County,Bailey,2014,Number,1348
County,Bailey,2015,Number,1115
County,Bailey,2013,Number,1385
County,Bailey,2012,Number,1224
County,Bailey,2011,Number,1274
County,Bailey,2010,Number,1325
County,Bailey,2009,Number,1112
County,Bailey,2008,Number,1082
County,Bailey,2007,Number,1242
County,Bailey,2006,Number,1231
County,Bailey,1989,Number,1684
County,Bailey,1993,Number,1576
County,Bailey,1995,Number,1710
County,Bailey,1997,Number,1667
County,Bailey,1998,Number,1573
County,Bailey,1999,Number,1087
County,Bailey,2000,Number,1277
County,Bailey,2001,Number,1277
County,Bailey,2002,Number,1221
County,Bailey,2003,Number,1182
County,Bailey,2004,Number,1177
County,Bailey,2005,Number,1227
County,Bailey,2020,Number,945
County,Bailey,2020,Percent,0.144
County,Bailey,2021,Number,1084
County,Bailey,2021,Percent,0.161
County,Bailey,2022,Number,1084
County,Bailey,2022,Percent,0.163
County,Bandera,1989,Number,1470
County,Bandera,1993,Number,1552
County,Bandera,1995,Number,1743
County,Bandera,1997,Number,2070
County,Bandera,1998,Number,2093
County,Bandera,1999,Number,1895
County,Bandera,2000,Number,2409
County,Bandera,2001,Number,2563
County,Bandera,2002,Number,2646
County,Bandera,2003,Number,2433
County,Bandera,2004,Number,2433
County,Bandera,2005,Number,2428
County,Bandera,2006,Number,2629
County,Bandera,2007,Number,2678
County,Bandera,2008,Number,2659
County,Bandera,2009,Number,2899
County,Bandera,2010,Number,3336
County,Bandera,2011,Number,2486
County,Bandera,2012,Number,2814
County,Bandera,2013,Number,3280
County,Bandera,2015,Number,2788
County,Bandera,2014,Number,2782
County,Bandera,2016,Number,3138
County,Bandera,2017,Number,2627
County,Bandera,2018,Number,3016
County,Bandera,2019,Number,2947
County,Bandera,2019,Percent,0.129
County,Bandera,2018,Percent,0.134
County,Bandera,2017,Percent,0.119
County,Bandera,1989,Percent,0.142
County,Bandera,1993,Percent,0.123
County,Bandera,1995,Percent,0.122
County,Bandera,1997,Percent,0.13
County,Bandera,1998,Percent,0.125
County,Bandera,1999,Percent,0.108
County,Bandera,2000,Percent,0.133
County,Bandera,2001,Percent,0.136
County,Bandera,2002,Percent,0.138
County,Bandera,2003,Percent,0.124
County,Bandera,2004,Percent,0.123
County,Bandera,2005,Percent,0.123
County,Bandera,2016,Percent,0.146
County,Bandera,2014,Percent,0.135
County,Bandera,2015,Percent,0.133
County,Bandera,2013,Percent,0.162
County,Bandera,2012,Percent,0.13943
County,Bandera,2011,Percent,0.123
County,Bandera,2010,Percent,0.165
County,Bandera,2009,Percent,0.142
County,Bandera,2008,Percent,0.132
County,Bandera,2006,Percent,0.132
County,Bandera,2007,Percent,0.134
County,Bandera,2020,Number,2588
County,Bandera,2020,Percent,0.11
County,Bandera,2021,Number,2445
County,Bandera,2021,Percent,0.114
County,Bandera,2022,Number,2580
County,Bandera,2022,Percent,0.117
County,Bastrop,2007,Percent,0.126
County,Bastrop,2006,Percent,0.117
County,Bastrop,2008,Percent,0.13
County,Bastrop,2009,Percent,0.146
County,Bastrop,2010,Percent,0.155
County,Bastrop,2011,Percent,0.146
County,Bastrop,2012,Percent,0.14267
County,Bastrop,2013,Percent,0.187
County,Bastrop,2015,Percent,0.127
County,Bastrop,2014,Percent,0.147
County,Bastrop,2016,Percent,0.132
County,Bastrop,1989,Percent,0.179
County,Bastrop,1993,Percent,0.165
County,Bastrop,1995,Percent,0.147
County,Bastrop,1997,Percent,0.139
County,Bastrop,1998,Percent,0.13
County,Bastrop,1999,Percent,0.116
County,Bastrop,2000,Percent,0.119
County,Bastrop,2001,Percent,0.123
County,Bastrop,2002,Percent,0.123
County,Bastrop,2003,Percent,0.126
County,Bastrop,2004,Percent,0.127
County,Bastrop,2005,Percent,0.117
County,Bastrop,2017,Percent,0.115
County,Bastrop,2018,Percent,0.126
County,Bastrop,2019,Percent,0.14
County,Bastrop,2019,Number,12091
County,Bastrop,2018,Number,10673
County,Bastrop,2017,Number,9462
County,Bastrop,2016,Number,10632
County,Bastrop,2014,Number,11069
County,Bastrop,2015,Number,9919
County,Bastrop,2013,Number,13699
County,Bastrop,2012,Number,10315
County,Bastrop,2011,Number,10603
County,Bastrop,2010,Number,11163
County,Bastrop,2009,Number,10611
County,Bastrop,2008,Number,9230
County,Bastrop,2007,Number,8814
County,Bastrop,2006,Number,8096
County,Bastrop,1989,Number,6602
County,Bastrop,1993,Number,6915
County,Bastrop,1995,Number,6832
County,Bastrop,1997,Number,6924
County,Bastrop,1998,Number,6785
County,Bastrop,1999,Number,6456
County,Bastrop,2000,Number,7064
County,Bastrop,2001,Number,7621
County,Bastrop,2002,Number,7973
County,Bastrop,2003,Number,8349
County,Bastrop,2004,Number,8627
County,Bastrop,2005,Number,7916
County,Bastrop,2020,Number,9596
County,Bastrop,2020,Percent,0.108
County,Bastrop,2021,Number,11414
County,Bastrop,2021,Percent,0.115
County,Bastrop,2022,Number,12789
County,Bastrop,2022,Percent,0.123
County,Baylor,1989,Number,1016
County,Baylor,1993,Number,835
County,Baylor,1995,Number,897
County,Baylor,1997,Number,854
County,Baylor,1998,Number,832
County,Baylor,1999,Number,652
County,Baylor,2000,Number,715
County,Baylor,2001,Number,735
County,Baylor,2002,Number,684
County,Baylor,2003,Number,651
County,Baylor,2004,Number,652
County,Baylor,2005,Number,710
County,Baylor,2006,Number,677
County,Baylor,2007,Number,685
County,Baylor,2008,Number,659
County,Baylor,2009,Number,683
County,Baylor,2010,Number,703
County,Baylor,2011,Number,718
County,Baylor,2012,Number,690
County,Baylor,2013,Number,690
County,Baylor,2015,Number,617
County,Baylor,2014,Number,643
County,Baylor,2016,Number,630
County,Baylor,2017,Number,620
County,Baylor,2018,Number,563
County,Baylor,2019,Number,546
County,Baylor,2019,Percent,0.159
County,Baylor,2018,Percent,0.161
County,Baylor,2017,Percent,0.177
County,Baylor,1989,Percent,0.237
County,Baylor,1993,Percent,0.197
County,Baylor,1995,Percent,0.214
County,Baylor,1997,Percent,0.206
County,Baylor,1998,Percent,0.205
County,Baylor,1999,Percent,0.161
County,Baylor,2000,Percent,0.183
County,Baylor,2001,Percent,0.19
County,Baylor,2002,Percent,0.177
County,Baylor,2003,Percent,0.167
County,Baylor,2004,Percent,0.172
County,Baylor,2005,Percent,0.188
County,Baylor,2016,Percent,0.176
County,Baylor,2014,Percent,0.183
County,Baylor,2015,Percent,0.174
County,Baylor,2013,Percent,0.195
County,Baylor,2012,Percent,0.19459
County,Baylor,2011,Percent,0.196
County,Baylor,2010,Percent,0.193
County,Baylor,2009,Percent,0.189
County,Baylor,2008,Percent,0.18
County,Baylor,2006,Percent,0.181
County,Baylor,2007,Percent,0.181
County,Baylor,2020,Number,526
County,Baylor,2020,Percent,0.153
County,Baylor,2021,Number,602
County,Baylor,2021,Percent,0.176
County,Baylor,2022,Number,473
County,Baylor,2022,Percent,0.139
County,Bee,2007,Percent,0.225
County,Bee,2006,Percent,0.277
County,Bee,2008,Percent,0.289
County,Bee,2009,Percent,0.286
County,Bee,2010,Percent,0.273
County,Bee,2011,Percent,0.296
County,Bee,2012,Percent,0.27623
County,Bee,2013,Percent,0.251
County,Bee,2015,Percent,0.234
County,Bee,2014,Percent,0.249
