"County","total_pop"
"Anderson",115002
"Andrews",37324
"Angelina",174060
"Aransas",50016
"Archer",18192
"Armstrong",3634
"Atascosa",101182
"Austin",63748
"Bailey",13460
"Bandera",44586
"Bastrop",221586
"Baylor",7056
"Bee",62090
"Bell",776126
"Bexar",4175992
"Blanco",25962
"Borden",1160
"Bosque",37668
"Bowie",182086
"Brazoria",789634
"Brazos",490130
"Brewster",19416
"Briscoe",2850
"Brooks",13640
"Brown",77242
"Burleson",38950
"Burnet",108606
"Caldwell",99466
"Calhoun",39618
"Callahan",27936
"Cameron",852124
"Camp",25844
"Carson",11942
"Cass",57354
"Castro",14412
"Chambers",106290
"Cherokee",104832
"Childress",13624
"Clay",21636
"Cochran",5056
"Coke",6580
"Coleman",15714
"Collin",2386184
"Collingsworth",5162
"Colorado",42484
"Comal",377052
"Comanche",28028
"Concho",6676
"Cooke",87122
"Coryell",168090
"Cottle",2668
"Crane",9514
"Crockett",5920
"Crosby",9664
"Culberson",4416
"Dallam",14512
"Dallas",5257008
"Dawson",23998
"DeWitt",39296
"Deaf Smith",37036
"Delta",11118
"Denton",1994278
"Dickens",3432
"Dimmit",16432
"Donley",6482
"Duval",19352
"Eastland",36076
"Ector",340406
"Edwards",2786
"El Paso",1740558
"Ellis",439404
"Erath",88086
"Falls",34728
"Fannin",74716
"Fayette",51432
"Fisher",7160
"Floyd",10348
"Foard",2138
"Fort Bend",1797028
"Franklin",21580
"Freestone",40684
"Frio",37040
"Gaines",46150
"Galveston",721590
"Garza",11276
"Gillespie",55582
"Glasscock",2232
"Goliad",14040
"Gonzales",39160
"Gray",41384
"Grayson",295028
"Gregg",250106
"Grimes",63684
"Guadalupe",378860
"Hale",63414
"Hall",5746
"Hamilton",17210
"Hansford",10208
"Hardeman",6974
"Hardin",116318
"Harris",9674322
"Harrison",138334
"Hartley",10568
"Haskell",10740
"Hays",564030
"Hemphill",6662
"Henderson",171362
"Hidalgo",1806426
"Hill",76330
"Hockley",42716
"Hood",135310
"Hopkins",76372
"Houston",44284
"Howard",68346
"Hudspeth",6860
"Hunt",230286
"Hutchinson",39968
"Irion",3104
"Jack",17716
"Jackson",30916
"Jasper",66768
"Jeff Davis",3734
"Jefferson",506276
"Jim Hogg",9304
"Jim Wells",77640
"Johnson",415404
"Jones",40744
"Karnes",29820
"Kaufman",359294
"Kendall",103934
"Kenedy",694
"Kent",1494
"Kerr",107922
"Kimble",8860
"King",466
"Kinney",6338
"Kleberg",61292
"Knox",6484
"La Salle",13234
"Lamar",101444
"Lamb",25340
"Lampasas",46466
"Lavaca",40548
"Lee",36478
"Leon",32942
"Liberty",214750
"Limestone",44530
"Lipscomb",5956
"Live Oak",23132
"Llano",46234
"Loving",104
"Lubbock",644256
"Lynn",11266
"Madison",26772
"Marion",19310
"Martin",10410
"Mason",8050
"Matagorda",72596
"Maverick",115550
"McCulloch",14812
"McLennan",525994
"McMullen",1130
"Medina",109778
"Menard",3880
"Midland",355078
"Milam",51882
"Mills",9002
"Mitchell",18154
"Montague",43044
"Montgomery",1422730
"Moore",42296
"Morris",24142
"Motley",2040
"Nacogdoches",130882
"Navarro",111672
"Newton",24160
"Nolan",28526
"Nueces",705450
"Ochiltree",19198
"Oldham",3552
"Orange",170654
"Palo Pinto",59000
"Panola",45712
"Parker",346626
"Parmer",18982
"Pecos",29200
"Polk",107602
"Potter",231198
"Presidio",11978
"Rains",25898
"Randall",298770
"Reagan",6406
"Real",5634
"Red River",23112
"Reeves",29774
"Refugio",13492
"Roberts",1602
"Robertson",34248
"Rockwall",260300
"Runnels",19692
"Rusk",106924
"Sabine",20272
"San Augustine",15720
"San Jacinto",59344
"San Patricio",139534
"San Saba",11664
"Schleicher",4778
"Scurry",32850
"Shackelford",6644
"Shelby",48036
"Sherman",5424
"Smith",489816
"Somervell",19760
"Starr",131480
"Stephens",18310
"Sterling",2788
"Stonewall",2484
"Sutton",6464
"Swisher",13666
"Tarrant",4373002
"Taylor",292020
"Terrell",1324
"Terry",22832
"Throckmorton",3050
"Titus",62638
"Tom Green",240794
"Travis",2706474
"Trinity",28594
"Tyler",40680
"Upshur",86548
"Upton",6468
"Uvalde",49516
"Val Verde",95036
"Van Zandt",126068
"Victoria",183562
"Walker",161780
"Waller",127228
"Ward",23036
"Washington",73838
"Webb",545210
"Wharton",83400
"Wheeler",9730
"Wichita",260034
"Wilbarger",25060
"Willacy",40248
"Williamson",1397740
"Wilson",105920
"Winkler",15216
"Wise",155250
"Wood",95774
"Yoakum",15142
"Young",36568
"Zapata",26942
"Zavala",19104
